,year,ch4_emissions_tg,n2o_emissions_tg,c_emissions_pg,co2_concentration_ppm,ch4_concentration_ppb,n2o_concentration_ppb,co2_forcing_wm2,ch4_forcing_wm2,n2o_forcing_wm2,total_forcing_wm2
456,2221,899.68242,22.01055974127222,9.584562199999999,1918.6217,3491.952,524.33143,10.358452,1.0167481,0.72202538,12.113109
457,2222,899.85272,21.971480018205185,9.314767300000002,1921.6126,3490.8566,524.49834,10.366789,1.016461,0.72243643,12.121402
458,2223,900.02302,21.93240186624545,9.0449724,1924.5227,3489.8584,524.65837,10.374889,1.0161993,0.72283046,12.129475999999999
459,2224,900.1933300000001,21.89332214317841,8.7751776,1927.352,3489.0597,524.8115700000001,10.382752,1.0159899,0.72320763,12.137374000000001
460,2225,900.3636300000001,21.854243991218677,8.505382699999998,1930.1,3488.4727,524.95801,10.390378,1.015836,0.72356811,12.145097999999999
461,2226,900.53393,21.815164268151637,8.2355878,1932.7513,3488.0301,525.09776,10.397725999999999,1.0157199000000001,0.72391205,12.152582
462,2227,900.70424,21.7760861161919,7.9657929,1935.2926,3487.6744,525.23087,10.404759,1.0156266,0.72423963,12.159769
463,2228,900.87454,21.737006393124865,7.6959979999999995,1937.7127,3487.376,525.35741,10.411448,1.0155484000000001,0.72455099,12.166616000000001
464,2229,901.04484,21.69792824116513,7.4262031,1940.0103,3487.115,525.47744,10.417791000000001,1.0154799,0.72484629,12.173115
465,2230,901.21514,21.658848518098093,7.1564081999999996,1942.1583,3486.7224,525.59101,10.423714,1.0153769,0.7251257,12.179125
466,2231,901.38545,21.619770366138358,6.8866133000000005,1944.1572,3486.0784,525.6982,10.429219999999999,1.0152079999999999,0.72538935,12.184604
467,2232,901.55575,21.580692214178626,6.6168184000000005,1946.0278,3485.2991,525.79905,10.434367,1.0150036,0.7256374,12.189653999999999
468,2233,901.72605,21.541612491111586,6.3470235,1947.7762,3484.5106,525.89363,10.439174000000001,1.0147966999999998,0.72587001,12.194342
469,2234,901.89636,21.502534339151854,6.077228599999999,1949.4392,3483.817,525.982,10.443742,1.0146146999999999,0.72608731,12.198811
470,2235,902.06666,21.463454616084814,5.8074337,1951.0121,3483.3203,526.06421,10.448058999999999,1.0144843000000001,0.72628946,12.203088000000001
471,2236,902.23696,21.424376464125082,5.5376388,1952.5138,3483.0325,526.14033,10.452177,1.0144088,0.7264766,12.207232000000001
472,2237,902.4072699999999,21.385296741058042,5.267843900000001,1953.9433,3482.886,526.2104,10.456094,1.0143704,0.72664887,12.211213
473,2238,902.5775699999999,21.34621858909831,4.998049,1955.2718,3482.8232,526.2744799999999,10.459732,1.0143539000000001,0.72680641,12.21493
474,2239,902.7478699999999,21.307138866031266,4.7282541,1956.4604,3482.8143,526.33263,10.462985,1.0143516,0.72694937,12.218268
475,2240,902.9181800000001,21.268060714071538,4.4584592,1957.4929,3482.8402,526.38491,10.465809,1.0143584,0.72707787,12.221174000000001
476,2241,903.0884800000001,21.2289809910045,4.188664299999999,1958.428,3482.7325,526.43137,10.468364999999999,1.0143301,0.72719206,12.223745
477,2242,903.2587800000001,21.189902839044766,3.9188693999999997,1959.1897,3482.3719,526.4720599999999,10.470447,1.0142354,0.72729208,12.225726
478,2243,903.4290800000001,21.150823115977726,3.6490745,1959.7707,3481.875,526.5070400000001,10.472033999999999,1.014105,0.72737805,12.227144000000001
479,2244,903.5993900000001,21.111744964017994,3.3792796000000003,1960.2847,3481.3684,526.53636,10.473436999999999,1.0139719999999999,0.72745011,12.228359
480,2245,903.7696900000001,21.072665240950954,3.1094847000000003,1960.7288,3480.9554,526.56008,10.47465,1.0138636,0.72750839,12.229402
481,2246,903.9399900000001,21.033587088991222,2.8396898,1961.0674,3480.7373,526.57823,10.475574,1.0138064,0.72755301,12.230217
482,2247,904.1103,20.994507365924182,2.5698949,1961.3194,3480.7257,526.5908900000001,10.476262,1.0138033000000002,0.72758412,12.230861
483,2248,904.2806,20.955429213964447,2.3001,1961.4957,3480.853,526.5980900000001,10.476742999999999,1.0138367,0.72760182,12.231336
484,2249,904.7895,20.9632847504819,2.088,1961.5683,3481.0617,526.5999,10.476941,1.0138915000000002,0.72760625,12.231545
485,2250,904.8603,20.964227414864,2.0458,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
486,2251,904.9552,20.964353103448275,2.05004,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
487,2252,905.0501,20.96447879203256,2.05428,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
488,2253,905.145,20.964604480616835,2.05852,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
489,2254,905.2399,20.964730169201115,2.06276,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
490,2255,905.3348,20.96485585778539,2.067,1961.5774,3481.1807,526.59945,10.476966000000001,1.0139228,0.72760516,12.231577
